ZIP CODE,Population,Percent White,Percent Black,Percent Hispanic/ Latino,Overall Poverty,Child Poverty
38002,42797,73,18.7,3.7,5.6,5
38004,11604,81.2,11.5,3.1,7.5,10.4
38011,10337,80,11.1,5,8.7,9
38016,46394,33,52.2,5.1,9.3,11
38017,55570,70,10.4,4.2,2.7,1.9
38018,38338,40.1,46,6.2,9.9,14.4
38028,7576,67.7,25.4,4.4,5.3,3.8
38053,25556,62.6,25.1,7.5,13.1,14.9
38054,159,47.8,8.2,15.1,,
38103,13981,58.5,28.1,3.9,9.8,5.8
38104,23408,61.2,28.7,4,15,8.2
38105,5215,15,77.4,2.3,32.7,42.3
38106,23140,2.1,96.1,1.2,40.1,61.6
38107,14509,17.2,76,4.1,30.5,41.6
38108,17629,17.4,60.2,21,35.7,51.4
38109,45204,2.4,95,1,30.7,49.7
38111,42322,35.6,50.2,9.4,23.9,34.1
38112,16334,34.7,50.1,9.9,29.6,51.8
38114,22112,4.8,91.4,3.1,32.3,40
38115,36574,5.1,83.6,10.3,25,39.9
38116,40212,4.7,92,2.3,28.4,44.5
38117,26430,80.2,10.8,5.3,8.8,14.1
38118,39373,5.5,75.9,16.3,32.1,53.4
38119,22990,48.3,41.6,3.8,7.5,9.1
38120,13554,81.3,8.1,3.1,6.5,14.1
38122,24014,43.5,17.6,30.3,27.1,37.9
38125,43305,10.7,78.3,5.1,8.3,11.2
38126,6034,6.9,90.7,0.6,52.4,72.1
38127,40565,9.2,84.8,3.1,37.4,55.2
38128,44400,9.3,80.8,6.4,26.1,37.4
38132,57,24.6,75.4,0,54.4,
38133,21383,50.6,27.3,14,5.3,5.9
38134,42789,39.3,43.4,13.1,13.1,15.5
38135,30917,55.2,36.6,3.4,8.2,9.7
38138,25465,84.1,6.6,2.4,3.6,1.7
38139,16627,86.4,2.1,1.6,0.8,0.6
38141,23123,4.4,86.6,8.2,8.1,11
